City,Date,Score
Charlotte,2016-01-19,1.557354974904071
Chicago,2016-01-19,1.3111586046885608
Dallas,2016-01-19,1.5404344283969442
Denver,2016-01-19,1.192933297405715
Detroit,2016-01-19,1.7318757550853772
Houston,2016-01-19,1.7407585584846095
Indianapolis,2016-01-19,1.3009955488760914
Jacksonville,2016-01-19,1.5177209279093895
Kansas City,2016-01-19,1.3282498029220737
Las Vegas,2016-01-19,1.4468463955677975
Los Angeles,2016-01-19,1.504032548700723
Miami,2016-01-19,1.2038461162523264
Minneapolis,2016-01-19,1.2471276448333104
Nashville,2016-01-19,1.3566722123838328
New York,2016-01-19,1.592752338907085
Philadelphia,2016-01-19,1.6692253039723939
Phoenix,2016-01-19,1.6593943063071803
Pittsburgh,2016-01-19,1.2002908307371523
Portland,2016-01-19,1.399931367539616
San Antonio,2016-01-19,1.5334138233019854
San Diego,2016-01-19,1.5852703854915946
San Francisco,2016-01-19,1.722750666875934
Seattle,2016-01-19,1.550872744286559
Vancouver,2016-01-19,1.69737398207269
Albuquerque,2016-01-20,1.2706736469252016
Atlanta,2016-01-20,1.240499370628346
Boston,2016-01-20,1.6173200287932208
Charlotte,2016-01-20,1.3599241145933672
Chicago,2016-01-20,1.3163165035739128
Dallas,2016-01-20,1.3542291909205932
Denver,2016-01-20,1.3451125712706178
Detroit,2016-01-20,1.3558781226775871
Houston,2016-01-20,1.6574177213332892
Indianapolis,2016-01-20,1.5843280207216304
Jacksonville,2016-01-20,1.7820922056537576
Kansas City,2016-01-20,1.569328011297265
Las Vegas,2016-01-20,1.3039569309655323
Los Angeles,2016-01-20,1.2993375498916069
Miami,2016-01-20,1.651265782119683
Minneapolis,2016-01-20,2.1684485508669695
Nashville,2016-01-20,1.3389545252837618
New York,2016-01-20,1.557670057055132
Philadelphia,2016-01-20,1.89114164453474
Phoenix,2016-01-20,1.5079993802155773
Pittsburgh,2016-01-20,1.4162434403445205
Portland,2016-01-20,1.5482696292412337
San Antonio,2016-01-20,1.9064408275471068
San Diego,2016-01-20,1.5039128033070426
San Francisco,2016-01-20,1.6345280952504544
Seattle,2016-01-20,1.6139662673089428
Vancouver,2016-01-20,1.7943045233782289
Albuquerque,2016-01-21,1.4136494053382203
Atlanta,2016-01-21,1.6903730279692777
Boston,2016-01-21,1.5117936419995015
Charlotte,2016-01-21,1.4070375595293336
Chicago,2016-01-21,1.592885194962159
Dallas,2016-01-21,1.4526258024462924
Denver,2016-01-21,1.3575355377769174
Detroit,2016-01-21,1.5742113133385782
Houston,2016-01-21,1.4737874551401546
Indianapolis,2016-01-21,1.7278010260957453
Jacksonville,2016-01-21,1.6961065042807622
Kansas City,2016-01-21,0.8831139132964367
Las Vegas,2016-01-21,1.259280842953196
Los Angeles,2016-01-21,1.4780654244148814
Miami,2016-01-21,1.3639566637363114
Minneapolis,2016-01-21,1.3730126432595045
Nashville,2016-01-21,2.0023833648782885
New York,2016-01-21,1.2441671339436207
Philadelphia,2016-01-21,1.1358261956964075
Phoenix,2016-01-21,1.4203009407686207
Pittsburgh,2016-01-21,1.5206469385531822
Portland,2016-01-21,1.4678677651027836
San Antonio,2016-01-21,1.595159782663618
San Diego,2016-01-21,1.6228687183015658
San Francisco,2016-01-21,1.6509328514107482
Seattle,2016-01-21,1.7539172097800098
Vancouver,2016-01-21,1.5133097204275001
Albuquerque,2016-01-22,1.4804674222989582
Atlanta,2016-01-22,1.7646552334071794
Boston,2016-01-22,1.66408216160432
Charlotte,2016-01-22,1.746234627024303
Chicago,2016-01-22,1.5918625463141842
Dallas,2016-01-22,1.577486396175048
Denver,2016-01-22,1.3707993379653867
Detroit,2016-01-22,1.4783249385466712
Houston,2016-01-22,1.4868743219274099
Indianapolis,2016-01-22,1.4131070221448607
Jacksonville,2016-01-22,1.6882568123741681
Kansas City,2016-01-22,1.5369668569168797
Las Vegas,2016-01-22,1.2555641813275658
Los Angeles,2016-01-22,1.2955362489378401
Miami,2016-01-22,1.8081627075460909
Minneapolis,2016-01-22,1.5586311131750141
Nashville,2016-01-22,1.5095893370182198
New York,2016-01-22,1.283487744808993
Philadelphia,2016-01-22,1.0846728089718125
Phoenix,2016-01-22,1.4459955149218355
Pittsburgh,2016-01-22,1.517606027067668
Portland,2016-01-22,1.6715118033152554
San Antonio,2016-01-22,1.4942559786333112
San Diego,2016-01-22,1.509826107930262
San Francisco,2016-01-22,1.5171945785459704
Seattle,2016-01-22,1.5829782412105757
Vancouver,2016-01-22,1.535773468613487
Albuquerque,2016-01-23,1.374087640000435
Atlanta,2016-01-23,1.6544000259129001
Boston,2016-01-23,1.6678552894349155
Charlotte,2016-01-23,1.751694664500168
Chicago,2016-01-23,1.7038643677094276
Dallas,2016-01-23,1.5627865937361203
Denver,2016-01-23,1.3743336365560277
Detroit,2016-01-23,1.465103653115554
Houston,2016-01-23,1.5323377513535397
Indianapolis,2016-01-23,1.7263756956469458
Jacksonville,2016-01-23,1.5305749715258776
Kansas City,2016-01-23,1.5306504567490662
Las Vegas,2016-01-23,1.3092785175210049
Los Angeles,2016-01-23,1.3183245900168794
Miami,2016-01-23,1.5468195122771182
Minneapolis,2016-01-23,1.5237695884161457
Nashville,2016-01-23,1.1808737914640808
New York,2016-01-23,1.6522330691321163
Philadelphia,2016-01-23,1.9967269002196284
Phoenix,2016-01-23,1.4952647149507596
Pittsburgh,2016-01-23,1.653200005027519
Portland,2016-01-23,1.627528994519506
San Antonio,2016-01-23,1.4523189034432253
San Diego,2016-01-23,1.3850635968385163
San Francisco,2016-01-23,1.195265265615604
Seattle,2016-01-23,1.6239600826237508
Vancouver,2016-01-23,1.2170773933588037
Albuquerque,2016-01-24,1.3005091509631488
Atlanta,2016-01-24,1.5209736689954259
Boston,2016-01-24,1.796640829601019
Charlotte,2016-01-24,1.460977513118226
Chicago,2016-01-24,1.3915285754635072
Dallas,2016-01-24,1.7940521931697664
Denver,2016-01-24,1.2067153144996672
Detroit,2016-01-24,1.602949005937186
Houston,2016-01-24,1.5737553002151925
Indianapolis,2016-01-24,1.6039068284127977
