Date,City,Accidents,lat,lng
2016-04,Marlborough,3,42.3494,-71.5468
2016-04,Marlton,3,39.9014,-74.9294
2016-04,Massillon,3,40.7838,-81.5254
2016-04,Mentone,3,34.0609,-117.1108
2016-04,Naugatuck,3,41.489,-73.0518
2016-04,New Britain,3,41.6759,-72.7862
2016-04,Newport,3,41.4801,-71.3203
2016-04,Niantic,3,41.3258,-72.1952
2016-04,Nicasio,3,38.0606,-122.7008
2016-04,Noblesville,3,40.0355,-86.0042
2016-04,North Baltimore,3,41.1803,-83.6695
2016-04,Occidental,3,38.4004,-122.9349
2016-04,Old Westbury,3,40.7866,-73.5975
2016-04,Palm Springs,3,33.8017,-116.5382
2016-04,Parsippany,3,40.8645,-74.4135
2016-04,Patterson,3,37.4758,-121.1536
2016-04,Pendleton,3,45.6757,-118.8201
2016-04,Penryn,3,40.2016,-76.3675
2016-04,Perth Amboy,3,40.5202,-74.2724
2016-04,Pine Grove,3,40.5535,-76.386
2016-04,Portsmouth,3,43.058,-70.7826
2016-04,Princeton,3,25.5396,-80.3971
2016-04,Quakertown,3,40.4398,-75.3455
2016-04,Queens,3,40.7498,-73.7976
2016-04,Richfield,3,44.8763,-93.2829
